3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.687,100,13.05,100,1.388,100
3.6869,99.999,13.049,100,1.388,100
3.6866,99.997,13.043,99.999,1.3879,99.999
3.6862,99.995,13.035,99.998,1.3879,99.998
3.6858,99.992,13.027,99.997,1.3878,99.997
3.6854,99.989,13.02,99.997,1.3878,99.996
3.685,99.986,13.012,99.996,1.3877,99.995
3.6846,99.983,13.004,99.995,1.3877,99.995
3.6842,99.981,12.997,99.994,1.3876,99.994
3.6838,99.978,12.99,99.993,1.3875,99.993
3.6834,99.975,12.982,99.992,1.3875,99.992
3.683,99.972,12.975,99.991,1.3874,99.991
3.6826,99.97,12.968,99.99,1.3874,99.99
3.6822,99.967,12.961,99.99,1.3873,99.989
3.6818,99.964,12.953,99.989,1.3873,99.988
3.6814,99.961,12.946,99.988,1.3872,99.987
3.681,99.958,12.939,99.987,1.3872,99.986
3.6806,99.956,12.933,99.986,1.3871,99.985
3.6802,99.953,12.926,99.985,1.387,99.985
3.6798,99.95,12.919,99.984,1.387,99.984
3.6795,99.947,12.912,99.983,1.3869,99.983
3.6791,99.945,12.905,99.982,1.3869,99.982
3.6787,99.942,12.899,99.982,1.3868,99.981
3.6783,99.939,12.892,99.981,1.3868,99.98
3.6779,99.936,12.886,99.98,1.3867,99.979
3.6776,99.933,12.879,99.979,1.3867,99.978
3.6772,99.931,12.873,99.978,1.3866,99.977
3.6768,99.928,12.867,99.977,1.3866,99.976
3.6765,99.925,12.86,99.976,1.3865,99.975
3.6761,99.922,12.854,99.975,1.3865,99.974
3.6757,99.92,12.848,99.975,1.3864,99.974
3.6753,99.917,12.842,99.974,1.3864,99.973
3.675,99.914,12.836,99.973,1.3863,99.972
3.6746,99.911,12.83,99.972,1.3863,99.971
3.6743,99.908,12.824,99.971,1.3862,99.97
3.6739,99.906,12.818,99.97,1.3862,99.969
3.6735,99.903,12.812,99.969,1.3861,99.968
3.6732,99.9,12.806,99.968,1.3861,99.967
3.6728,99.897,12.8,99.968,1.3861,99.966
3.6725,99.895,12.794,99.967,1.386,99.965
3.6721,99.892,12.789,99.966,1.386,99.964
3.6718,99.889,12.783,99.965,1.3859,99.964
3.6714,99.886,12.777,99.964,1.3859,99.963
3.671,99.883,12.772,99.963,1.3858,99.962
3.6707,99.881,12.766,99.962,1.3858,99.961
3.6703,99.878,12.761,99.961,1.3857,99.96
3.67,99.875,12.755,99.961,1.3857,99.959
3.6697,99.872,12.75,99.96,1.3856,99.958
3.6693,99.87,12.745,99.959,1.3856,99.957
3.669,99.867,12.74,99.958,1.3856,99.956
3.6686,99.864,12.734,99.957,1.3855,99.955
3.6683,99.861,12.729,99.956,1.3855,99.954
3.6679,99.858,12.724,99.955,1.3854,99.953
3.6676,99.856,12.719,99.954,1.3854,99.953
3.6673,99.853,12.714,99.954,1.3853,99.952
3.6669,99.85,12.709,99.953,1.3853,99.951
3.6666,99.847,12.704,99.952,1.3853,99.95
3.6663,99.845,12.699,99.951,1.3852,99.949
3.6659,99.842,12.694,99.95,1.3852,99.948
3.6656,99.839,12.689,99.949,1.3851,99.947
3.6653,99.836,12.684,99.948,1.3851,99.946
3.6649,99.833,12.68,99.947,1.3851,99.945
3.6646,99.831,12.675,99.947,1.385,99.944
3.6643,99.828,12.67,99.946,1.385,99.943
3.6639,99.825,12.666,99.945,1.3849,99.943
3.6636,99.822,12.661,99.944,1.3849,99.942
3.6633,99.82,12.656,99.943,1.3849,99.941
3.663,99.817,12.652,99.942,1.3848,99.94
3.6626,99.814,12.647,99.941,1.3848,99.939
3.6623,99.811,12.643,99.94,1.3847,99.938
3.662,99.808,12.638,99.94,1.3847,99.937
3.6617,99.806,12.634,99.939,1.3847,99.936
3.6614,99.803,12.63,99.938,1.3846,99.935
3.661,99.8,12.625,99.937,1.3846,99.934
3.6607,99.797,12.621,99.936,1.3846,99.933
3.6604,99.795,12.617,99.935,1.3845,99.932
3.6601,99.792,12.613,99.934,1.3845,99.932
3.6598,99.789,12.609,99.933,1.3845,99.931
3.6595,99.786,12.604,99.933,1.3844,99.93
3.6592,99.783,12.6,99.932,1.3844,99.929
3.6588,99.781,12.596,99.931,1.3843,99.928
3.6585,99.778,12.592,99.93,1.3843,99.927
3.6582,99.775,12.588,99.929,1.3843,99.926
3.6579,99.772,12.584,99.928,1.3842,99.925
3.6576,99.77,12.58,99.927,1.3842,99.924
3.6573,99.767,12.576,99.926,1.3842,99.923
3.657,99.764,12.573,99.926,1.3841,99.922
3.6567,99.761,12.569,99.925,1.3841,99.922
